company,report,reporting_period,source_pdf,source_page,category,subcategory,indicator,unit,value_2022,value_2023,value_2024,notes
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,131,Economic,Value creation and distribution,Community social contribution total cost,KRW 100m,238,259,310,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,131,Economic,Value creation and distribution,Shareholder/investor cash dividend plus interest cost,KRW 100m,4905,7170,7522,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,131,Economic,Government support,Tax reductions and credits,KRW 100m,0,85,61,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,132,Economic,Purchasing,Direct purchase amount - Korea,KRW tn,10.6,10.3,10.8,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,132,Economic,Purchasing,Direct purchase amount - Asia,KRW tn,8.8,9.0,6.7,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,132,Economic,Purchasing,Direct purchase amount - China,KRW tn,5.1,5.2,9.5,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,132,Economic,Purchasing,Direct purchase amount - Americas,KRW tn,4.8,4.3,4.5,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,132,Economic,Purchasing,Direct purchase amount - Europe/CIS,KRW tn,2.8,2.2,2.4,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,132,Economic,Purchasing,Direct purchase amount - Middle East and Africa,KRW tn,0.2,0.2,0.2,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,132,Economic,Purchasing,Direct purchase CMDT share - Display,percent,29.4,26.3,25.9,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,132,Economic,Purchasing,Direct purchase CMDT share - Mechanism,percent,33.8,34.4,25.6,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,132,Economic,Purchasing,Direct purchase CMDT share - Circuit,percent,18.0,18.9,21.4,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,132,Economic,Purchasing,Direct purchase CMDT share - Semiconductor,percent,9.1,10.2,10.6,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,132,Economic,Purchasing,Direct purchase CMDT share - Raw materials,percent,6.7,6.3,12.0,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,132,Economic,Purchasing,Direct purchase CMDT share - Other CMDT,percent,3.0,3.8,4.6,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,132,Economic,Sales,Regional sales - Korea,KRW 100m,275046,332873,342720,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,132,Economic,Sales,Regional sales - North America,KRW 100m,172404,197448,203475,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,132,Economic,Sales,Regional sales - Europe,KRW 100m,118603,119977,121293,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,132,Economic,Sales,Regional sales - Asia and Africa etc.,KRW 100m,66088,78436,74880,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,132,Economic,Sales,Regional sales - Total regional sales,KRW 100m,739080,834673,842278,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,133,Environmental,Energy and GHG,Fuel use,MWh,530342,479022,465970,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,133,Environmental,Energy and GHG,Steam use,MWh,93611,86777,60507,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,133,Environmental,Energy and GHG,Electricity use,MWh,1226227,1248280,1295280,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,133,Environmental,Energy and GHG,Total energy use,MWh,1850180,1814079,1821757,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,133,Environmental,Energy and GHG,Fuel use,TJ,1909,1724,1677,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,133,Environmental,Energy and GHG,Steam use,TJ,337,312,218,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,133,Environmental,Energy and GHG,Electricity use,TJ,4414,4494,4663,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,133,Environmental,Energy and GHG,Total energy use,TJ,6661,6531,6558,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,133,Environmental,Energy and GHG,Energy intensity,TJ/KRW 100bn,8.0,7.8,7.5,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,133,Environmental,Energy and GHG,Non-renewable energy use target,MWh,1752197,1689251,1628566,
