file,sector_code,sector_name,size,mapping_confidence,source_json,rows,sv_mapping_warning,scale_guidance_hash
"EBX_Q_템플릿_CG_소비재_대기업_consultant_safe_v2.xlsx","CG","소비재","대기업","high","EBX_Q_템플릿_CG_소비재_대기업.json","27","no","4310da8d5c272bfd8587768c4597f36b6ed585fbdc4d66c7b95943e019a2ea98"
"EBX_Q_템플릿_CG_소비재_비상장_consultant_safe_v2.xlsx","CG","소비재","비상장","high","EBX_Q_템플릿_CG_소비재_비상장.json","27","no","0c4cabdc1c1014595e4a58c85e548cb0e1d79d326ad7a8d4a931a999364c5e81"
"EBX_Q_템플릿_CG_소비재_중견_consultant_safe_v2.xlsx","CG","소비재","중견","high","EBX_Q_템플릿_CG_소비재_중견.json","27","no","aa13af130535c8fc05c5d26f91ff942c2a8c033a8c5070ef5a84ecbe709b78cb"
"EBX_Q_템플릿_CG_소비재_중소_consultant_safe_v2.xlsx","CG","소비재","중소","high","EBX_Q_템플릿_CG_소비재_중소.json","27","no","7bc23dc5270125065226b159ccdc011ed8e65e489dfd2b197c03c0ab4fc911b4"
"EBX_Q_템플릿_EM_추출·광물가공_대기업_consultant_safe_v2.xlsx","EM","추출·광물가공","대기업","high","EBX_Q_템플릿_EM_추출·광물가공_대기업.json","27","no","4310da8d5c272bfd8587768c4597f36b6ed585fbdc4d66c7b95943e019a2ea98"
"EBX_Q_템플릿_EM_추출·광물가공_비상장_consultant_safe_v2.xlsx","EM","추출·광물가공","비상장","high","EBX_Q_템플릿_EM_추출·광물가공_비상장.json","27","no","0c4cabdc1c1014595e4a58c85e548cb0e1d79d326ad7a8d4a931a999364c5e81"
"EBX_Q_템플릿_EM_추출·광물가공_중견_consultant_safe_v2.xlsx","EM","추출·광물가공","중견","high","EBX_Q_템플릿_EM_추출·광물가공_중견.json","27","no","aa13af130535c8fc05c5d26f91ff942c2a8c033a8c5070ef5a84ecbe709b78cb"
"EBX_Q_템플릿_EM_추출·광물가공_중소_consultant_safe_v2.xlsx","EM","추출·광물가공","중소","high","EBX_Q_템플릿_EM_추출·광물가공_중소.json","27","no","7bc23dc5270125065226b159ccdc011ed8e65e489dfd2b197c03c0ab4fc911b4"
"EBX_Q_템플릿_FB_식음료_대기업_consultant_safe_v2.xlsx","FB","식음료","대기업","high","EBX_Q_템플릿_FB_식음료_대기업.json","27","no","4310da8d5c272bfd8587768c4597f36b6ed585fbdc4d66c7b95943e019a2ea98"
"EBX_Q_템플릿_FB_식음료_비상장_consultant_safe_v2.xlsx","FB","식음료","비상장","high","EBX_Q_템플릿_FB_식음료_비상장.json","27","no","0c4cabdc1c1014595e4a58c85e548cb0e1d79d326ad7a8d4a931a999364c5e81"
"EBX_Q_템플릿_FB_식음료_중견_consultant_safe_v2.xlsx","FB","식음료","중견","high","EBX_Q_템플릿_FB_식음료_중견.json","27","no","aa13af130535c8fc05c5d26f91ff942c2a8c033a8c5070ef5a84ecbe709b78cb"
"EBX_Q_템플릿_FB_식음료_중소_consultant_safe_v2.xlsx","FB","식음료","중소","high","EBX_Q_템플릿_FB_식음료_중소.json","27","no","7bc23dc5270125065226b159ccdc011ed8e65e489dfd2b197c03c0ab4fc911b4"
"EBX_Q_템플릿_FN_금융_대기업_consultant_safe_v2.xlsx","FN","금융","대기업","high","EBX_Q_템플릿_FN_금융_대기업.json","27","no","4310da8d5c272bfd8587768c4597f36b6ed585fbdc4d66c7b95943e019a2ea98"
"EBX_Q_템플릿_FN_금융_비상장_consultant_safe_v2.xlsx","FN","금융","비상장","high","EBX_Q_템플릿_FN_금융_비상장.json","27","no","0c4cabdc1c1014595e4a58c85e548cb0e1d79d326ad7a8d4a931a999364c5e81"
"EBX_Q_템플릿_FN_금융_중견_consultant_safe_v2.xlsx","FN","금융","중견","high","EBX_Q_템플릿_FN_금융_중견.json","27","no","aa13af130535c8fc05c5d26f91ff942c2a8c033a8c5070ef5a84ecbe709b78cb"
"EBX_Q_템플릿_FN_금융_중소_consultant_safe_v2.xlsx","FN","금융","중소","high","EBX_Q_템플릿_FN_금융_중소.json","27","no","7bc23dc5270125065226b159ccdc011ed8e65e489dfd2b197c03c0ab4fc911b4"
"EBX_Q_템플릿_HC_헬스케어_대기업_consultant_safe_v2.xlsx","HC","헬스케어","대기업","high","EBX_Q_템플릿_HC_헬스케어_대기업.json","27","no","4310da8d5c272bfd8587768c4597f36b6ed585fbdc4d66c7b95943e019a2ea98"
"EBX_Q_템플릿_HC_헬스케어_비상장_consultant_safe_v2.xlsx","HC","헬스케어","비상장","high","EBX_Q_템플릿_HC_헬스케어_비상장.json","27","no","0c4cabdc1c1014595e4a58c85e548cb0e1d79d326ad7a8d4a931a999364c5e81"
"EBX_Q_템플릿_HC_헬스케어_중견_consultant_safe_v2.xlsx","HC","헬스케어","중견","high","EBX_Q_템플릿_HC_헬스케어_중견.json","27","no","aa13af130535c8fc05c5d26f91ff942c2a8c033a8c5070ef5a84ecbe709b78cb"
"EBX_Q_템플릿_HC_헬스케어_중소_consultant_safe_v2.xlsx","HC","헬스케어","중소","high","EBX_Q_템플릿_HC_헬스케어_중소.json","27","no","7bc23dc5270125065226b159ccdc011ed8e65e489dfd2b197c03c0ab4fc911b4"
"EBX_Q_템플릿_IF_인프라_대기업_consultant_safe_v2.xlsx","IF","인프라","대기업","high","EBX_Q_템플릿_IF_인프라_대기업.json","27","no","4310da8d5c272bfd8587768c4597f36b6ed585fbdc4d66c7b95943e019a2ea98"
"EBX_Q_템플릿_IF_인프라_비상장_consultant_safe_v2.xlsx","IF","인프라","비상장","high","EBX_Q_템플릿_IF_인프라_비상장.json","27","no","0c4cabdc1c1014595e4a58c85e548cb0e1d79d326ad7a8d4a931a999364c5e81"
