sector_code,sector_name,size,mapped_sector,confidence,gate_exit,real_excerpt,real_reword,파일prefix
CG,소비재,대기업,CG,high,0,26,27,CG_소비재_대기업
CG,소비재,중견,CG,high,0,26,27,CG_소비재_중견
CG,소비재,중소,CG,high,0,26,27,CG_소비재_중소
CG,소비재,비상장,CG,high,0,26,27,CG_소비재_비상장
EM,추출·광물가공,대기업,EM,high,0,27,27,EM_추출·광물가공_대기업
EM,추출·광물가공,중견,EM,high,0,27,27,EM_추출·광물가공_중견
EM,추출·광물가공,중소,EM,high,0,27,27,EM_추출·광물가공_중소
EM,추출·광물가공,비상장,EM,high,0,27,27,EM_추출·광물가공_비상장
FN,금융,대기업,FN,high,0,27,27,FN_금융_대기업
FN,금융,중견,FN,high,0,27,27,FN_금융_중견
FN,금융,중소,FN,high,0,27,27,FN_금융_중소
FN,금융,비상장,FN,high,0,27,27,FN_금융_비상장
FB,식음료,대기업,FB,high,0,27,27,FB_식음료_대기업
FB,식음료,중견,FB,high,0,27,27,FB_식음료_중견
FB,식음료,중소,FB,high,0,27,27,FB_식음료_중소
FB,식음료,비상장,FB,high,0,27,27,FB_식음료_비상장
HC,헬스케어,대기업,HC,high,0,25,26,HC_헬스케어_대기업
HC,헬스케어,중견,HC,high,0,25,26,HC_헬스케어_중견
HC,헬스케어,중소,HC,high,0,25,26,HC_헬스케어_중소
HC,헬스케어,비상장,HC,high,0,25,26,HC_헬스케어_비상장
IF,인프라,대기업,IF,high,0,27,27,IF_인프라_대기업
IF,인프라,중견,IF,high,0,27,27,IF_인프라_중견
IF,인프라,중소,IF,high,0,27,27,IF_인프라_중소
IF,인프라,비상장,IF,high,0,27,27,IF_인프라_비상장
RR,재생자원·대체에너지,대기업,RR,high,0,26,27,RR_재생자원·대체에너지_대기업
RR,재생자원·대체에너지,중견,RR,high,0,26,27,RR_재생자원·대체에너지_중견
RR,재생자원·대체에너지,중소,RR,high,0,26,27,RR_재생자원·대체에너지_중소
RR,재생자원·대체에너지,비상장,RR,high,0,26,27,RR_재생자원·대체에너지_비상장
RT,자원가공·제조,대기업,RT,high,0,27,27,RT_자원가공·제조_대기업
RT,자원가공·제조,중견,RT,high,0,27,27,RT_자원가공·제조_중견
RT,자원가공·제조,중소,RT,high,0,27,27,RT_자원가공·제조_중소
RT,자원가공·제조,비상장,RT,high,0,27,27,RT_자원가공·제조_비상장
SV,서비스,대기업,SV,low,0,26,27,SV_서비스_대기업
SV,서비스,중견,SV,low,0,26,27,SV_서비스_중견
SV,서비스,중소,SV,low,0,26,27,SV_서비스_중소
SV,서비스,비상장,SV,low,0,26,27,SV_서비스_비상장
TC,기술·통신,대기업,TC,high,0,26,27,TC_기술·통신_대기업
TC,기술·통신,중견,TC,high,0,26,27,TC_기술·통신_중견
TC,기술·통신,중소,TC,high,0,26,27,TC_기술·통신_중소
TC,기술·통신,비상장,TC,high,0,26,27,TC_기술·통신_비상장
TR,운송,대기업,TR,high,0,25,27,TR_운송_대기업
TR,운송,중견,TR,high,0,25,27,TR_운송_중견
TR,운송,중소,TR,high,0,25,27,TR_운송_중소
TR,운송,비상장,TR,high,0,25,27,TR_운송_비상장
